Perc,Topic,Category
8.678694,Rarity,Tree density
6.766086,Rarity,Forest age
6.718115,Rarity,Forest age
8.288664,Rarity,Climate
8.820524,Rarity,Climate
8.196892,Rarity,Climate
7.735947,Rarity,Climate
8.380436,Rarity,Soil
11.212848,Rarity,Soil
9.809156,Rarity,Elevation
9.200125,Rarity,Human impact
6.192512,Rarity,Human impact
8.011862,Dominance,Tree density
8.131954,Dominance,Forest age
6.323219,Dominance,Forest age
6.024214,Dominance,Climate
6.151659,Dominance,Climate
8.041272,Dominance,Climate
10.345081,Dominance,Climate
8.369688,Dominance,Soil
11.6808,Dominance,Soil
11.918533,Dominance,Elevation
8.847606,Dominance,Human impact
6.15411,Dominance,Human impact
