ForestAge_rounded,Sand_rounded,Precipitation_rounded,Dominance_rounded,Rarity_rounded
40,50,2400,3,46
60,50,2700,4,50
25,45,3000,4,49
25,50,2900,4,50
20,40,2600,5,58
40,50,2700,5,49
25,45,3000,5,52
25,40,2100,5,50
25,45,2300,5,53
20,40,2500,5,58
40,40,2400,6,40
25,40,2300,6,52
40,45,2500,6,42
20,40,2500,6,53
25,50,2900,6,55
40,45,2600,6,43
10,50,1300,6,53
40,40,2600,6,43
25,45,3000,6,54
30,40,4300,6,54
40,45,2700,6,44
25,50,4200,6,50
25,45,2200,6,54
40,45,1800,6,50
20,40,2400,6,56
20,35,2600,7,58
30,45,1500,7,54
20,40,2400,7,53
40,40,2100,7,45
40,45,2500,7,44
35,45,2200,7,53
25,40,2000,7,49
25,50,1700,7,53
30,50,1400,7,63
25,50,1700,7,53
35,40,2100,7,46
25,60,1700,7,58
40,45,2600,7,53
35,45,3500,7,51
20,45,2600,7,53
30,45,1600,7,49
35,45,2300,7,50
40,40,2600,7,43
25,60,3600,7,59
40,50,2500,7,51
25,50,3300,7,54
25,45,3600,7,48
40,50,2600,7,54
25,45,2300,7,57
20,40,2500,7,56
20,40,2400,7,60
40,45,2600,7,45
30,45,2600,7,59
25,40,2300,7,51
30,45,1400,8,64
20,40,2400,8,61
30,50,2100,8,57
35,45,2300,8,54
25,50,1700,8,59
20,40,2500,8,58
25,60,1600,8,58
25,50,4600,8,47
25,50,3300,8,54
20,35,2600,8,59
35,45,2300,8,49
10,35,2000,8,29
40,45,2700,8,47
25,60,1400,8,58
40,40,2300,8,47
25,55,1600,8,55
35,45,2300,8,55
20,40,2500,8,51
30,45,2600,8,57
30,45,1500,8,56
25,60,1400,8,61
15,35,1700,8,39
25,50,1700,8,58
35,50,2400,8,49
40,45,2600,8,47
20,40,3100,8,57
25,55,3700,8,54
15,35,2500,8,58
20,40,2500,8,62
35,45,2300,9,52
25,50,4600,9,54
20,40,2400,9,60
40,45,2500,9,48
20,40,2500,9,58
30,45,4200,9,52
35,45,1600,9,57
25,55,1500,9,59
20,45,1800,9,56
25,50,1600,9,59
20,45,3400,9,50
25,40,1500,9,47
30,45,1800,9,60
20,40,2500,9,64
15,35,1600,9,42
50,45,2100,9,56
30,50,1400,9,67
10,40,2500,9,53
40,45,2500,9,46
30,35,1700,9,41
10,50,2000,9,54
35,45,2300,9,55
25,55,1800,9,50
25,55,1800,9,53
30,50,2000,9,61
15,30,1500,9,38
30,35,1500,9,43
25,45,3000,9,56
25,45,2200,9,58
40,45,2700,9,42
25,45,2200,9,57
30,45,1400,9,58
20,40,2600,9,57
35,45,2200,9,53
15,35,1500,9,27
25,55,1600,9,59
20,35,2600,9,58
25,50,4300,10,53
40,65,2200,10,51
20,45,2600,10,54
10,45,1800,10,42
30,45,2000,10,33
5,50,1400,10,26
20,55,1900,10,62
20,40,2500,10,65
35,45,1700,10,55
20,35,2600,10,58
25,30,1700,10,29
20,35,2600,10,61
20,40,2500,10,54
10,50,1300,10,57
30,40,1600,10,54
40,65,2300,10,55
10,35,2000,10,31
15,30,1700,10,38
45,45,2800,10,58
