DominanceCategory,EOO
rare,36977
rare,1066283
rare,3901263
rare,1171319
rare,23406
rare,388231
rare,49435
rare,736250
rare,4818153
rare,8
rare,233147
rare,304269
rare,10208655
rare,5586
rare,3075482
rare,5106502
rare,63649
dominant,6935525
rare,168120
rare,1227623
rare,2616348
rare,13479310
rare,1002006
rare,213919
rare,240763
rare,246692
rare,2528520
rare,3945736
rare,97969
rare,2775401
rare,32436
rare,482986
rare,949584
rare,901616
rare,617038
rare,4245
rare,69987
rare,2141944
rare,7513793
rare,4161323
rare,2341723
rare,7815
rare,103351
rare,3560407
rare,1702279
rare,6617692
rare,2267398
rare,1584
rare,219629
rare,8746700
rare,1884359
rare,71605
rare,37824
rare,1291594
rare,960211
rare,1183250
rare,1624
rare,644490
rare,45255
rare,6203
rare,8127
rare,2007368
rare,6092931
rare,11692
rare,626946
rare,2544601
rare,1230992
rare,4701110
rare,45938
rare,621641
rare,1862189
rare,5964
rare,17809
rare,139377
rare,6176970
rare,2963472
rare,2085064
rare,11164
rare,8949020
rare,125426
rare,4141885
rare,8033
rare,2298485
rare,3308882
rare,3045296
rare,178157
rare,22777
rare,3075850
rare,59
rare,4236790
rare,2143903
rare,47
rare,2483475
rare,1306800
rare,1838649
rare,2379768
rare,61038
rare,1446124
rare,2990378
rare,614294
rare,8936061
rare,750183
rare,11841
rare,42571
rare,652740
rare,4946520
rare,124044
rare,7050842
rare,1574976
rare,267451
rare,1633826
rare,1500473
rare,1212332
rare,2291316
rare,296
rare,4154909
rare,282517
rare,880927
rare,10170
rare,3173267
rare,295247
rare,3553820
rare,862989
dominant,4511964
rare,269251
rare,409292
rare,548556
rare,2968076
rare,1224106
rare,172191
rare,1005052
rare,457923
rare,14365266
rare,1911191
rare,3054500
rare,351536
rare,418391
rare,320906
rare,4500883
rare,554426
rare,7349430
rare,1370682
rare,7424
rare,197467
rare,1523720
rare,16865
rare,2271139
rare,1922137
rare,7906
rare,7754016
rare,631242
rare,433
rare,341254
rare,2001929
rare,3885141
rare,123527
rare,307677
rare,243581
rare,3802856
rare,17864
rare,10164
